filename,pollution,model,time_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0
file_less_columns_deleted_value_row_26_col_5.csv,Unknown,gpt-5.4-mini,25.181062936782837,6474.0,0.0,6098.0
file_commented_row_41.csv,Unknown,gpt-5.4-mini,23.84956407546997,4688.0,1792.0,6022.0
file_unescaped_multiline_string_row_2_col_7.csv,Unknown,gpt-5.4-mini,24.03580355644226,6480.0,0.0,6199.0
file_less_columns_deleted_value_row_57_col_1.csv,Unknown,gpt-5.4-mini,23.646449327468872,3658.0,2816.0,6124.0
file_field_delimiter_0x20.csv,Non-standard field delimiter (0x20),gpt-5.4-mini,28.279717206954956,6529.0,0.0,6251.0
file_escape_char_0x5C.csv,Non-standard escape character (0x5C),gpt-5.4-mini,23.856271982192993,6479.0,0.0,6101.0
file_field_delimiter_0x9.csv,Non-standard field delimiter (0x9),gpt-5.4-mini,24.36364507675171,6824.0,0.0,6266.0
combo__move_header_row5__preamble_2_raw_empty_row.csv,Unknown,gpt-5.4-mini,23.351348400115967,6490.0,0.0,6104.0
file_mixed_time_formats_long_month_name_unquoted.csv,Unknown,gpt-5.4-mini,72.1401789188385,,,
file_quotation_char_0x27.csv,Non-standard quotation character (0x27),gpt-5.4-mini,26.74366569519043,6652.0,0.0,6739.0
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,Unknown,gpt-5.4-mini,22.57214045524597,6480.0,0.0,6115.0
file_less_columns_deleted_value_row_40_col_1.csv,Unknown,gpt-5.4-mini,24.404644012451172,3658.0,2816.0,6136.0
file_whitespace_delimiter_cells_unquoted_padded.csv,Unknown,gpt-5.4-mini,26.99868392944336,6602.0,0.0,6264.0
file_double_escaping_double_quote_row_2_col_7.csv,Unknown,gpt-5.4-mini,30.93322253227234,6480.0,0.0,6216.0
file_more_columns_row_34_col_1.csv,Unknown,gpt-5.4-mini,25.148078203201294,4698.0,1792.0,6130.0
file_embedded_json_cell_2_1_len_4.csv,Unknown,gpt-5.4-mini,28.690974473953247,6498.0,0.0,6135.0
file_preamble.csv,Preamble rows before header,gpt-5.4-mini,26.910226106643677,6527.0,0.0,6146.0
file_less_columns_deleted_value_row_70_col_3.csv,Unknown,gpt-5.4-mini,24.8623263835907,2633.0,3840.0,6089.0
file_field_delimiter_0x2C_0x20.csv,Non-standard field delimiter (0x2C_0x20),gpt-5.4-mini,67.63807940483093,,,
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,Unknown,gpt-5.4-mini,26.657509088516235,6491.0,0.0,6354.0
source.csv,Unknown,gpt-5.4-mini,23.54215168952942,1614.0,4864.0,6088.0
file_footnote_3_blank_line.csv,Unknown,gpt-5.4-mini,24.58098840713501,602.0,5888.0,6099.0
file_quotation_char_none.csv,Unknown,gpt-5.4-mini,27.395275115966797,6470.0,0.0,6453.0
file_mixed_time_formats_month_day_year.csv,Unknown,gpt-5.4-mini,64.69775676727295,,,
file_move_header_row8.csv,Unknown,gpt-5.4-mini,25.08313274383545,6478.0,0.0,6088.0
file_header_multirow_3.csv,Multi-row header (3 rows),gpt-5.4-mini,26.99787163734436,6520.0,0.0,6172.0
file_more_columns_row_39_col_8.csv,Unknown,gpt-5.4-mini,25.28046941757202,3677.0,2816.0,6116.0
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,Unknown,gpt-5.4-mini,24.632917165756226,6478.0,0.0,6125.0
file_mixed_time_formats_iso_8601.csv,Unknown,gpt-5.4-mini,26.827287197113037,6478.0,0.0,6331.0
file_more_columns_row_9_col_6.csv,Unknown,gpt-5.4-mini,25.14435124397278,6494.0,0.0,6155.0
file_no_trailing_newline.csv,Missing trailing newline,gpt-5.4-mini,24.910154581069946,590.0,5888.0,6110.0
file_footnote_3.csv,Unknown,gpt-5.4-mini,24.230556964874268,602.0,5888.0,6101.0
file_extremely_long_field_row_3_col_6_len_10000.csv,Unknown,gpt-5.4-mini,28.7485408782959,8214.0,0.0,6778.0
file_num_columns_1000.csv,Unknown,gpt-5.4-mini,65.35499668121338,29128.0,0.0,15977.0
file_whitespace_delimiter_cells_quoted_unpadded.csv,Unknown,gpt-5.4-mini,26.22818422317505,6818.0,0.0,6462.0
