filename,model,time_0,llm_calls_0,local_cache_hits_0,uncached_input_tokens_0,cached_input_tokens_0,completion_tokens_0,total_tokens_0,input_cost_usd_0,cached_input_cost_usd_0,output_cost_usd_0,estimated_api_cost_usd_0,billable_cost_usd_0,success_0,error_0
file_less_columns_deleted_value_row_26_col_5.csv,gpt-5.6-luna,3.716778315603733,2,0,2360,0,327,2687,,,,,,True,
file_commented_row_41.csv,gpt-5.6-luna,1.7321542799472809,1,0,972,0,149,1121,,,,,,True,
file_unescaped_multiline_string_row_2_col_7.csv,gpt-5.6-luna,6.924266204237938,2,0,2584,0,649,3233,,,,,,True,
file_less_columns_deleted_value_row_57_col_1.csv,gpt-5.6-luna,4.818295441567898,2,0,2361,0,392,2753,,,,,,True,
file_field_delimiter_0x20.csv,gpt-5.6-luna,23.37317808717489,2,0,10091,0,4859,14950,,,,,,True,
file_escape_char_0x5C.csv,gpt-5.6-luna,24.482832551002502,2,0,3236,0,2890,6126,,,,,,True,
file_field_delimiter_0x9.csv,gpt-5.6-luna,1.8905793502926824,1,0,1012,0,158,1170,,,,,,True,
combo__move_header_row5__preamble_2_raw_empty_row.csv,gpt-5.6-luna,4.5337222665548325,2,0,2720,0,366,3086,,,,,,True,
file_mixed_time_formats_long_month_name_unquoted.csv,gpt-5.6-luna,23.22386249154806,2,0,7449,0,4518,11967,,,,,,True,
file_quotation_char_0x27.csv,gpt-5.6-luna,26.653823882341385,2,0,5592,0,4126,9718,,,,,,True,
combo__more_columns_row_10_col_4__mixed_delimiters_within_row_row_11_range_3_0x3B.csv,gpt-5.6-luna,9.648098275065422,2,0,2369,0,1046,3415,,,,,,True,
file_less_columns_deleted_value_row_40_col_1.csv,gpt-5.6-luna,5.474202461540699,2,0,2372,0,489,2861,,,,,,True,
file_whitespace_delimiter_cells_unquoted_padded.csv,gpt-5.6-luna,32.94652996957302,2,0,496138,0,3094,499232,,,,,,True,
file_double_escaping_double_quote_row_2_col_7.csv,gpt-5.6-luna,2.666189216077328,1,0,974,0,227,1201,,,,,,True,
file_more_columns_row_34_col_1.csv,gpt-5.6-luna,11.047672301530838,2,0,2381,0,1262,3643,,,,,,True,
file_embedded_json_cell_2_1_len_4.csv,gpt-5.6-luna,8.091569423675537,2,0,2500,0,825,3325,,,,,,True,
file_preamble.csv,gpt-5.6-luna,3.9475195333361626,1,0,518,0,341,859,,,,,,True,
file_less_columns_deleted_value_row_70_col_3.csv,gpt-5.6-luna,3.929603651165962,2,0,2359,0,378,2737,,,,,,True,
file_field_delimiter_0x2C_0x20.csv,gpt-5.6-luna,2.611275129020214,1,0,1028,0,225,1253,,,,,,True,
combo__multiline_header_rows_3__mixed_delimiters_within_row_row_4_range_3_0x3B__footnote_2_blank_line.csv,gpt-5.6-luna,12.085828207433224,2,0,2980,0,1327,4307,,,,,,True,
source.csv,gpt-5.6-luna,1.718214638531208,1,0,972,0,138,1110,,,,,,True,
file_footnote_3_blank_line.csv,gpt-5.6-luna,3.756894439458847,2,0,3254,0,307,3561,,,,,,True,
file_quotation_char_none.csv,gpt-5.6-luna,31.5378390699625,2,0,14843,0,7185,22028,,,,,,True,
file_mixed_time_formats_month_day_year.csv,gpt-5.6-luna,1.8009782806038857,1,0,972,0,136,1108,,,,,,True,
file_move_header_row8.csv,gpt-5.6-luna,1.870996594429016,1,0,972,0,143,1115,,,,,,True,
file_header_multirow_3.csv,gpt-5.6-luna,2.345397472381592,1,0,869,0,225,1094,,,,,,True,
file_more_columns_row_39_col_8.csv,gpt-5.6-luna,6.7454350888729095,2,0,2385,0,563,2948,,,,,,True,
file_mixed_delimiters_within_row_row_13_range_1_0x3B.csv,gpt-5.6-luna,8.265693075954914,2,0,2371,0,782,3153,,,,,,True,
file_mixed_time_formats_iso_8601.csv,gpt-5.6-luna,1.6868671774864197,1,0,972,0,151,1123,,,,,,True,
file_more_columns_row_9_col_6.csv,gpt-5.6-luna,6.801129408180714,2,0,2394,0,655,3049,,,,,,True,
file_no_trailing_newline.csv,gpt-5.6-luna,1.776002675294876,1,0,972,0,123,1095,,,,,,True,
file_footnote_3.csv,gpt-5.6-luna,3.560486249625683,2,0,3254,0,270,3524,,,,,,True,
file_extremely_long_field_row_3_col_6_len_10000.csv,gpt-5.6-luna,2.445546381175518,1,0,2708,0,193,2901,,,,,,True,
